Lambda/m,Lambda/nm,E/eV,Solar per nm/W*m^-2*nm^-1,Solar per E/W*m^-2*eV^-1
2.03E-06,2025.0,0.612,7.4010E-02,2.4485E+02
2.02E-06,2020.0,0.614,4.4981E-02,1.4808E+02
2.02E-06,2015.0,0.615,2.6648E-02,8.7291E+01
2.01E-06,2010.0,0.617,3.9748E-02,1.2956E+02
2.01E-06,2005.0,0.618,1.5001E-02,4.8652E+01
2.00E-06,2000.0,0.620,3.8156E-02,1.2313E+02
2.00E-06,1995.0,0.622,8.1190E-02,2.6070E+02
1.99E-06,1990.0,0.623,8.5613E-02,2.7353E+02
1.99E-06,1985.0,0.625,8.3063E-02,2.6405E+02
1.98E-06,1980.0,0.626,7.5512E-02,2.3884E+02
1.98E-06,1975.0,0.628,6.7857E-02,2.1354E+02
1.97E-06,1970.0,0.629,4.8847E-02,1.5294E+02
1.97E-06,1965.0,0.631,2.8563E-02,8.8978E+01
1.96E-06,1960.0,0.633,2.1906E-02,6.7894E+01
1.96E-06,1955.0,0.634,1.0036E-02,3.0946E+01
1.95E-06,1950.0,0.636,1.6727E-02,5.1315E+01
1.95E-06,1945.0,0.638,1.0863E-02,3.3154E+01
1.94E-06,1940.0,0.639,3.2821E-03,9.9657E+00
1.94E-06,1935.0,0.641,3.5935E-03,1.0855E+01
1.93E-06,1930.0,0.642,5.5242E-04,1.6601E+00
1.93E-06,1925.0,0.644,9.3615E-04,2.7987E+00
1.92E-06,1920.0,0.646,4.5069E-04,1.3404E+00
1.92E-06,1915.0,0.648,1.9947E-05,5.9016E-02
1.91E-06,1910.0,0.649,2.3045E-05,6.7826E-02
1.91E-06,1905.0,0.651,5.6667E-07,1.6591E-03
1.90E-06,1900.0,0.653,8.6221E-07,2.5112E-03
1.90E-06,1895.0,0.654,1.2947E-04,3.7509E-01
1.89E-06,1890.0,0.656,2.2333E-04,6.4361E-01
1.89E-06,1885.0,0.658,4.3890E-05,1.2582E-01
1.88E-06,1880.0,0.660,7.7505E-05,2.2100E-01
1.88E-06,1875.0,0.661,4.5130E-10,1.2800E-06
1.87E-06,1870.0,0.663,2.6662E-10,7.5219E-07
1.87E-06,1865.0,0.665,1.6982E-05,4.7654E-02
1.86E-06,1860.0,0.667,1.1151E-05,3.1124E-02
1.86E-06,1855.0,0.668,2.8396E-07,7.8831E-04
1.85E-06,1850.0,0.670,2.9993E-06,8.2816E-03
1.85E-06,1845.0,0.672,6.2658E-06,1.7208E-02
1.84E-06,1840.0,0.674,6.2703E-08,1.7127E-04
1.84E-06,1835.0,0.676,6.4190E-06,1.7438E-02
1.83E-06,1830.0,0.678,5.2041E-06,1.4061E-02
1.83E-06,1825.0,0.679,1.2744E-03,3.4244E+00
1.82E-06,1820.0,0.681,9.8755E-04,2.6391E+00
1.82E-06,1815.0,0.683,3.2816E-03,8.7215E+00
1.81E-06,1810.0,0.685,9.6911E-03,2.5614E+01
1.81E-06,1805.0,0.687,1.4815E-02,3.8941E+01
1.80E-06,1800.0,0.689,3.1828E-02,8.3197E+01
1.80E-06,1795.0,0.691,4.6931E-02,1.2200E+02
1.79E-06,1790.0,0.693,8.8904E-02,2.2982E+02
1.79E-06,1785.0,0.695,7.6981E-02,1.9789E+02
1.78E-06,1780.0,0.697,1.0050E-01,2.5690E+02
1.78E-06,1775.0,0.699,1.1484E-01,2.9191E+02
1.77E-06,1770.0,0.701,1.4172E-01,3.5820E+02
1.77E-06,1765.0,0.703,1.3284E-01,3.3387E+02
1.76E-06,1760.0,0.705,1.5998E-01,3.9980E+02
1.76E-06,1755.0,0.707,1.5301E-01,3.8021E+02
1.75E-06,1750.0,0.709,1.6566E-01,4.0931E+02
1.75E-06,1745.0,0.711,1.5481E-01,3.8031E+02
1.74E-06,1740.0,0.713,1.6818E-01,4.1080E+02
1.74E-06,1735.0,0.715,1.6154E-01,3.9231E+02
1.73E-06,1730.0,0.717,1.7407E-01,4.2031E+02
1.73E-06,1725.0,0.719,1.7808E-01,4.2751E+02
1.72E-06,1720.0,0.721,1.8698E-01,4.4628E+02
1.72E-06,1715.0,0.723,1.8965E-01,4.5002E+02
1.71E-06,1710.0,0.725,1.8790E-01,4.4327E+02
1.71E-06,1705.0,0.727,1.9778E-01,4.6386E+02
1.70E-06,1702.0,0.729,2.0396E-01,4.7667E+02
1.70E-06,1700.0,0.729,1.9975E-01,4.6573E+02
1.70E-06,1699.0,0.730,2.0551E-01,4.7860E+02
1.70E-06,1698.0,0.730,2.0739E-01,4.8241E+02
1.70E-06,1697.0,0.731,1.8107E-01,4.2069E+02
1.70E-06,1696.0,0.731,2.0922E-01,4.8552E+02
1.70E-06,1695.0,0.732,2.0968E-01,4.8602E+02
1.69E-06,1694.0,0.732,2.0477E-01,4.7407E+02
1.69E-06,1693.0,0.732,2.1134E-01,4.8871E+02
1.69E-06,1692.0,0.733,2.0708E-01,4.7829E+02
1.69E-06,1691.0,0.733,1.9303E-01,4.4531E+02
1.69E-06,1690.0,0.734,2.0523E-01,4.7290E+02
1.69E-06,1689.0,0.734,2.0718E-01,4.7683E+02
1.69E-06,1688.0,0.735,2.1013E-01,4.8304E+02
1.69E-06,1687.0,0.735,2.0484E-01,4.7033E+02
1.69E-06,1686.0,0.735,2.1026E-01,4.8220E+02
1.69E-06,1685.0,0.736,2.1321E-01,4.8838E+02
1.68E-06,1684.0,0.736,1.9797E-01,4.5294E+02
1.68E-06,1683.0,0.737,2.0906E-01,4.7774E+02
1.68E-06,1682.0,0.737,2.0366E-01,4.6485E+02
1.68E-06,1681.0,0.738,1.9447E-01,4.4334E+02
1.68E-06,1680.0,0.738,2.0558E-01,4.6812E+02
1.68E-06,1679.0,0.739,2.1303E-01,4.8450E+02
1.68E-06,1678.0,0.739,2.0915E-01,4.7511E+02
1.68E-06,1677.0,0.739,2.1229E-01,4.8167E+02
1.68E-06,1676.0,0.740,2.1145E-01,4.7919E+02
1.68E-06,1675.0,0.740,2.1360E-01,4.8349E+02
1.67E-06,1674.0,0.741,2.1575E-01,4.8777E+02
1.67E-06,1673.0,0.741,2.1629E-01,4.8841E+02
1.67E-06,1672.0,0.742,2.1147E-01,4.7695E+02
1.67E-06,1671.0,0.742,2.1879E-01,4.9287E+02
1.67E-06,1670.0,0.743,2.2168E-01,4.9878E+02
1.67E-06,1669.0,0.743,2.1516E-01,4.8353E+02
1.67E-06,1668.0,0.743,2.1459E-01,4.8168E+02
1.67E-06,1667.0,0.744,2.1068E-01,4.7233E+02
1.67E-06,1666.0,0.744,1.7884E-01,4.0047E+02
1.67E-06,1665.0,0.745,2.1178E-01,4.7366E+02
1.66E-06,1664.0,0.745,2.2098E-01,4.9364E+02
1.66E-06,1663.0,0.746,2.2235E-01,4.9611E+02
1.66E-06,1662.0,0.746,2.1908E-01,4.8822E+02
1.66E-06,1661.0,0.747,2.2384E-01,4.9823E+02
1.66E-06,1660.0,0.747,2.2332E-01,4.9647E+02
1.66E-06,1659.0,0.747,2.2120E-01,4.9117E+02
1.66E-06,1658.0,0.748,2.2487E-01,4.9872E+02
1.66E-06,1657.0,0.748,2.2223E-01,4.9227E+02
1.66E-06,1656.0,0.749,2.2101E-01,4.8897E+02
1.66E-06,1655.0,0.749,2.2231E-01,4.9126E+02
1.65E-06,1654.0,0.750,2.1583E-01,4.7636E+02
1.65E-06,1653.0,0.750,2.2277E-01,4.9108E+02
1.65E-06,1652.0,0.751,2.2373E-01,4.9260E+02
1.65E-06,1651.0,0.751,2.0855E-01,4.5862E+02
1.65E-06,1650.0,0.752,2.2526E-01,4.9477E+02
1.65E-06,1649.0,0.752,2.1867E-01,4.7972E+02
1.65E-06,1648.0,0.752,2.1655E-01,4.7449E+02
1.65E-06,1647.0,0.753,2.2768E-01,4.9827E+02
1.65E-06,1646.0,0.753,2.1749E-01,4.7539E+02
1.65E-06,1645.0,0.754,2.1822E-01,4.7641E+02
1.64E-06,1644.0,0.754,2.2355E-01,4.8745E+02
1.64E-06,1643.0,0.755,2.1535E-01,4.6900E+02
1.64E-06,1642.0,0.755,2.2082E-01,4.8033E+02
1.64E-06,1641.0,0.756,2.1960E-01,4.7709E+02
1.64E-06,1640.0,0.756,2.1511E-01,4.6677E+02
1.64E-06,1639.0,0.757,2.2026E-01,4.7736E+02
1.64E-06,1638.0,0.757,2.2007E-01,4.7637E+02
1.64E-06,1637.0,0.757,2.2700E-01,4.9077E+02
1.64E-06,1636.0,0.758,2.3539E-01,5.0829E+02
1.64E-06,1635.0,0.758,2.3367E-01,5.0396E+02
1.63E-06,1634.0,0.759,2.3282E-01,5.0151E+02
1.63E-06,1633.0,0.759,2.3267E-01,5.0057E+02
1.63E-06,1632.0,0.760,2.3821E-01,5.1186E+02
1.63E-06,1631.0,0.760,2.3806E-01,5.1091E+02
1.63E-06,1630.0,0.761,2.3651E-01,5.0697E+02
1.63E-06,1629.0,0.761,2.4137E-01,5.1675E+02
1.63E-06,1628.0,0.762,2.4126E-01,5.1588E+02
1.63E-06,1627.0,0.762,2.4078E-01,5.1422E+02
1.63E-06,1626.0,0.763,2.3971E-01,5.1131E+02
1.63E-06,1625.0,0.763,2.3782E-01,5.0665E+02
1.62E-06,1624.0,0.764,2.4269E-01,5.1639E+02
1.62E-06,1623.0,0.764,2.4246E-01,5.1526E+02
1.62E-06,1622.0,0.764,2.3754E-01,5.0419E+02
1.62E-06,1621.0,0.765,2.3430E-01,4.9670E+02
1.62E-06,1620.0,0.765,2.3449E-01,4.9649E+02
1.62E-06,1619.0,0.766,2.4100E-01,5.0964E+02
1.62E-06,1618.0,0.766,2.4352E-01,5.1433E+02
1.62E-06,1617.0,0.767,2.3465E-01,4.9499E+02
1.62E-06,1616.0,0.767,2.3050E-01,4.8563E+02
1.62E-06,1615.0,0.768,2.4104E-01,5.0721E+02
1.61E-06,1614.0,0.768,2.3838E-01,5.0099E+02
1.61E-06,1613.0,0.769,2.3719E-01,4.9787E+02
1.61E-06,1612.0,0.769,2.3076E-01,4.8378E+02
1.61E-06,1611.0,0.770,2.2680E-01,4.7488E+02
1.61E-06,1610.0,0.770,2.1760E-01,4.5506E+02
1.61E-06,1609.0,0.771,2.2727E-01,4.7469E+02
1.61E-06,1608.0,0.771,2.2990E-01,4.7958E+02
1.61E-06,1607.0,0.772,2.3296E-01,4.8536E+02
1.61E-06,1606.0,0.772,2.4140E-01,5.0232E+02
1.61E-06,1605.0,0.773,2.3683E-01,4.9220E+02
1.60E-06,1604.0,0.773,2.2842E-01,4.7413E+02
1.60E-06,1603.0,0.774,2.2397E-01,4.6431E+02
1.60E-06,1602.0,0.774,2.2413E-01,4.6406E+02
1.60E-06,1601.0,0.775,2.2323E-01,4.6162E+02
1.60E-06,1600.0,0.775,2.3810E-01,4.9176E+02
1.60E-06,1599.0,0.775,2.4202E-01,4.9923E+02
1.60E-06,1598.0,0.776,2.5421E-01,5.2372E+02
1.60E-06,1597.0,0.776,2.4692E-01,5.0807E+02
1.60E-06,1596.0,0.777,2.4452E-01,5.0250E+02
1.60E-06,1595.0,0.777,2.5823E-01,5.3001E+02
1.59E-06,1594.0,0.778,2.5624E-01,5.2526E+02
1.59E-06,1593.0,0.778,2.5833E-01,5.2888E+02
1.59E-06,1592.0,0.779,2.5225E-01,5.1579E+02
1.59E-06,1591.0,0.779,2.4197E-01,4.9415E+02
1.59E-06,1590.0,0.780,2.4179E-01,4.9316E+02
1.59E-06,1589.0,0.780,2.3233E-01,4.7327E+02
1.59E-06,1588.0,0.781,2.5107E-01,5.1080E+02
1.59E-06,1587.0,0.781,2.5303E-01,5.1414E+02
1.59E-06,1586.0,0.782,2.5569E-01,5.1889E+02
1.59E-06,1585.0,0.782,2.5874E-01,5.2442E+02
1.58E-06,1584.0,0.783,2.4904E-01,5.0412E+02
1.58E-06,1583.0,0.783,2.4755E-01,5.0047E+02
1.58E-06,1582.0,0.784,2.4195E-01,4.8853E+02
1.58E-06,1581.0,0.784,2.4870E-01,5.0153E+02
1.58E-06,1580.0,0.785,2.4464E-01,4.9271E+02
1.58E-06,1579.0,0.785,2.3672E-01,4.7616E+02
1.58E-06,1578.0,0.786,2.3516E-01,4.7242E+02
1.58E-06,1577.0,0.786,2.1602E-01,4.3342E+02
1.58E-06,1576.0,0.787,2.4678E-01,4.9451E+02
1.58E-06,1575.0,0.787,2.3974E-01,4.7979E+02
1.57E-06,1574.0,0.788,2.4145E-01,4.8260E+02
1.57E-06,1573.0,0.788,2.3407E-01,4.6726E+02
1.57E-06,1572.0,0.789,2.3775E-01,4.7400E+02
1.57E-06,1571.0,0.789,2.3507E-01,4.6806E+02
1.57E-06,1570.0,0.790,2.4175E-01,4.8075E+02
1.57E-06,1569.0,0.790,2.5452E-01,5.0550E+02
1.57E-06,1568.0,0.791,2.5722E-01,5.1021E+02
1.57E-06,1567.0,0.791,2.6308E-01,5.2117E+02
1.57E-06,1566.0,0.792,2.6245E-01,5.1926E+02
1.57E-06,1565.0,0.792,2.6728E-01,5.2814E+02
1.56E-06,1564.0,0.793,2.6264E-01,5.1831E+02
1.56E-06,1563.0,0.793,2.6667E-01,5.2559E+02
1.56E-06,1562.0,0.794,2.6756E-01,5.2667E+02
1.56E-06,1561.0,0.794,2.7002E-01,5.3083E+02
1.56E-06,1560.0,0.795,2.6568E-01,5.2163E+02
1.56E-06,1559.0,0.795,2.6808E-01,5.2567E+02
1.56E-06,1558.0,0.796,2.6848E-01,5.2578E+02
1.56E-06,1557.0,0.796,2.7062E-01,5.2929E+02
1.56E-06,1556.0,0.797,2.6310E-01,5.1392E+02
1.56E-06,1555.0,0.797,2.6759E-01,5.2202E+02
1.55E-06,1554.0,0.798,2.6474E-01,5.1579E+02
1.55E-06,1553.0,0.798,2.7132E-01,5.2793E+02
1.55E-06,1552.0,0.799,2.7182E-01,5.2822E+02
1.55E-06,1551.0,0.799,2.7058E-01,5.2514E+02
1.55E-06,1550.0,0.800,2.6990E-01,5.2314E+02
1.55E-06,1549.0,0.801,2.7342E-01,5.2928E+02
1.55E-06,1548.0,0.801,2.6675E-01,5.1570E+02
1.55E-06,1547.0,0.802,2.7309E-01,5.2728E+02
1.55E-06,1546.0,0.802,2.7481E-01,5.2991E+02
1.55E-06,1545.0,0.803,2.7705E-01,5.3354E+02
1.54E-06,1544.0,0.803,2.7210E-01,5.2333E+02
1.54E-06,1543.0,0.804,2.7208E-01,5.2261E+02
1.54E-06,1542.0,0.804,2.6927E-01,5.1655E+02
1.54E-06,1541.0,0.805,2.6904E-01,5.1544E+02
1.54E-06,1540.0,0.805,2.6491E-01,5.0687E+02
1.54E-06,1539.0,0.806,2.7295E-01,5.2157E+02
1.54E-06,1538.0,0.806,2.7202E-01,5.1912E+02
1.54E-06,1537.0,0.807,2.7336E-01,5.2100E+02
1.54E-06,1536.0,0.807,2.7464E-01,5.2276E+02
1.54E-06,1535.0,0.808,2.6686E-01,5.0729E+02
1.53E-06,1534.0,0.808,2.6892E-01,5.1054E+02
1.53E-06,1533.0,0.809,2.7714E-01,5.2546E+02
1.53E-06,1532.0,0.809,2.7839E-01,5.2714E+02
1.53E-06,1531.0,0.810,2.6973E-01,5.1007E+02
1.53E-06,1530.0,0.810,2.5522E-01,4.8200E+02
1.53E-06,1529.0,0.811,2.7244E-01,5.1385E+02
1.53E-06,1528.0,0.812,2.7928E-01,5.2607E+02
1.53E-06,1527.0,0.812,2.6220E-01,4.9325E+02
1.53E-06,1526.0,0.813,2.6745E-01,5.0246E+02
1.53E-06,1525.0,0.813,2.5884E-01,4.8565E+02
1.52E-06,1524.0,0.814,2.7539E-01,5.1603E+02
1.52E-06,1523.0,0.814,2.8004E-01,5.2405E+02
1.52E-06,1522.0,0.815,2.6378E-01,4.9297E+02
1.52E-06,1521.0,0.815,2.7505E-01,5.1336E+02
1.52E-06,1520.0,0.816,2.6450E-01,4.9302E+02
1.52E-06,1519.0,0.816,2.4437E-01,4.5490E+02
1.52E-06,1518.0,0.817,2.5211E-01,4.6869E+02
1.52E-06,1517.0,0.817,2.4929E-01,4.6284E+02
1.52E-06,1516.0,0.818,2.5683E-01,4.7621E+02
1.52E-06,1515.0,0.818,2.6573E-01,4.9206E+02
1.51E-06,1514.0,0.819,2.2571E-01,4.1740E+02
1.51E-06,1513.0,0.820,2.4239E-01,4.4766E+02
1.51E-06,1512.0,0.820,2.6068E-01,4.8080E+02
1.51E-06,1511.0,0.821,2.6474E-01,4.8764E+02
1.51E-06,1510.0,0.821,2.7052E-01,4.9763E+02
1.51E-06,1509.0,0.822,1.8690E-01,3.4335E+02
1.51E-06,1508.0,0.822,2.4302E-01,4.4586E+02
1.51E-06,1507.0,0.823,2.5514E-01,4.6748E+02
1.51E-06,1506.0,0.823,2.5773E-01,4.7159E+02
1.51E-06,1505.0,0.824,1.8402E-01,3.3627E+02
1.50E-06,1504.0,0.824,1.6029E-01,2.9252E+02
1.50E-06,1503.0,0.825,1.8493E-01,3.3704E+02
1.50E-06,1502.0,0.826,2.3356E-01,4.2510E+02
1.50E-06,1501.0,0.826,2.6552E-01,4.8263E+02
1.50E-06,1500.0,0.827,2.5061E-01,4.5492E+02
1.50E-06,1499.0,0.827,2.1759E-01,3.9445E+02
1.50E-06,1498.0,0.828,1.8968E-01,3.4340E+02
1.50E-06,1497.0,0.828,2.2850E-01,4.1313E+02
1.50E-06,1496.0,0.829,1.6852E-01,3.0428E+02
1.50E-06,1495.0,0.829,1.8253E-01,3.2913E+02
1.49E-06,1494.0,0.830,2.0367E-01,3.6676E+02
1.49E-06,1493.0,0.831,1.8157E-01,3.2653E+02
1.49E-06,1492.0,0.831,1.6441E-01,2.9527E+02
1.49E-06,1491.0,0.832,1.9778E-01,3.5472E+02
1.49E-06,1490.0,0.832,1.7478E-01,3.1305E+02
1.49E-06,1489.0,0.833,1.8973E-01,3.3937E+02
1.49E-06,1488.0,0.833,9.4180E-02,1.6824E+02
1.49E-06,1487.0,0.834,6.0629E-02,1.0816E+02
1.49E-06,1486.0,0.834,1.2340E-01,2.1984E+02
1.49E-06,1485.0,0.835,1.2503E-01,2.2244E+02
1.48E-06,1484.0,0.836,1.3747E-01,2.4425E+02
1.48E-06,1483.0,0.836,1.4859E-01,2.6365E+02
1.48E-06,1482.0,0.837,5.8490E-02,1.0364E+02
1.48E-06,1481.0,0.837,1.1529E-01,2.0401E+02
1.48E-06,1480.0,0.838,6.0637E-02,1.0716E+02
1.48E-06,1479.0,0.838,1.2001E-01,2.1179E+02
1.48E-06,1478.0,0.839,6.3480E-02,1.1188E+02
1.48E-06,1477.0,0.840,6.9736E-02,1.2274E+02
1.48E-06,1476.0,0.840,6.8778E-02,1.2089E+02
1.48E-06,1475.0,0.841,1.8463E-01,3.2407E+02
1.47E-06,1474.0,0.841,9.7339E-02,1.7062E+02
1.47E-06,1473.0,0.842,7.0198E-02,1.2288E+02
1.47E-06,1472.0,0.842,4.6771E-02,8.1761E+01
1.47E-06,1471.0,0.843,1.7848E-02,3.1158E+01
1.47E-06,1470.0,0.844,4.9678E-02,8.6607E+01
1.47E-06,1469.0,0.844,9.4845E-02,1.6512E+02
1.47E-06,1468.0,0.845,7.6942E-02,1.3377E+02
1.47E-06,1467.0,0.845,3.6054E-02,6.2599E+01
1.47E-06,1466.0,0.846,6.5197E-02,1.1304E+02
1.47E-06,1465.0,0.846,9.3383E-02,1.6169E+02
1.46E-06,1464.0,0.847,1.5184E-01,2.6256E+02
1.46E-06,1463.0,0.848,4.3225E-02,7.4641E+01
1.46E-06,1462.0,0.848,1.3060E-01,2.2521E+02
1.46E-06,1461.0,0.849,9.0276E-02,1.5546E+02
1.46E-06,1460.0,0.849,8.5421E-02,1.4690E+02
1.46E-06,1459.0,0.850,1.6307E-01,2.8005E+02
1.46E-06,1458.0,0.850,1.3643E-01,2.3398E+02
1.46E-06,1457.0,0.851,1.1700E-01,2.0038E+02
1.46E-06,1456.0,0.852,8.8509E-02,1.5138E+02
1.46E-06,1455.0,0.852,6.6150E-02,1.1298E+02
1.45E-06,1454.0,0.853,1.3759E-01,2.3468E+02
1.45E-06,1453.0,0.853,8.1978E-02,1.3963E+02
1.45E-06,1452.0,0.854,6.2361E-02,1.0607E+02
1.45E-06,1451.0,0.855,1.1271E-02,1.9145E+01
1.45E-06,1450.0,0.855,2.7412E-02,4.6498E+01
1.45E-06,1449.0,0.856,1.0213E-01,1.7300E+02
1.45E-06,1448.0,0.856,1.1569E-01,1.9570E+02
1.45E-06,1447.0,0.857,3.6215E-02,6.1176E+01
1.45E-06,1446.0,0.858,2.3095E-02,3.8959E+01
1.45E-06,1445.0,0.858,4.9751E-02,8.3809E+01
1.44E-06,1444.0,0.859,6.1791E-02,1.0395E+02
1.44E-06,1443.0,0.859,4.5063E-02,7.5702E+01
1.44E-06,1442.0,0.860,3.6317E-02,6.0925E+01
1.44E-06,1441.0,0.861,3.1800E-02,5.3273E+01
1.44E-06,1440.0,0.861,3.9601E-02,6.6250E+01
1.44E-06,1439.0,0.862,5.1039E-02,8.5266E+01
1.44E-06,1438.0,0.862,1.3263E-02,2.2127E+01
1.44E-06,1437.0,0.863,2.9880E-02,4.9779E+01
1.44E-06,1436.0,0.864,3.8351E-02,6.3803E+01
1.44E-06,1435.0,0.864,2.1416E-02,3.5579E+01
1.43E-06,1434.0,0.865,2.0962E-02,3.4776E+01
1.43E-06,1433.0,0.865,3.5834E-02,5.9366E+01
1.43E-06,1432.0,0.866,2.5194E-03,4.1681E+00
1.43E-06,1431.0,0.867,5.0156E-02,8.2862E+01
1.43E-06,1430.0,0.867,6.1601E-02,1.0163E+02
1.43E-06,1429.0,0.868,3.8020E-02,6.2637E+01
1.43E-06,1428.0,0.868,4.5588E-03,7.5000E+00
1.43E-06,1427.0,0.869,4.9546E-02,8.1397E+01
1.43E-06,1426.0,0.870,2.7792E-02,4.5594E+01
1.43E-06,1425.0,0.870,2.5850E-02,4.2349E+01
1.42E-06,1424.0,0.871,1.6975E-02,2.7770E+01
1.42E-06,1423.0,0.871,9.2198E-03,1.5062E+01
1.42E-06,1422.0,0.872,4.6314E-02,7.5555E+01
1.42E-06,1421.0,0.873,9.1637E-03,1.4928E+01
1.42E-06,1420.0,0.873,8.2718E-03,1.3456E+01
1.42E-06,1419.0,0.874,2.1442E-03,3.4832E+00
1.42E-06,1418.0,0.874,1.3559E-02,2.1995E+01
1.42E-06,1417.0,0.875,1.1759E-02,1.9049E+01
1.42E-06,1416.0,0.876,3.5565E-02,5.7531E+01
1.42E-06,1415.0,0.876,1.8366E-04,2.9667E-01
1.41E-06,1414.0,0.877,3.6378E-04,5.8680E-01
1.41E-06,1413.0,0.878,2.3353E-02,3.7617E+01
1.41E-06,1412.0,0.878,2.6396E-03,4.2458E+00
1.41E-06,1411.0,0.879,2.1142E-03,3.3959E+00
1.41E-06,1410.0,0.879,4.6653E-04,7.4829E-01
1.41E-06,1409.0,0.880,6.1919E-04,9.9174E-01
1.41E-06,1408.0,0.881,1.6493E-03,2.6379E+00
1.41E-06,1407.0,0.881,1.7457E-04,2.7881E-01
1.41E-06,1406.0,0.882,2.0448E-03,3.2612E+00
1.41E-06,1405.0,0.883,3.6444E-07,5.8041E-04
1.40E-06,1404.0,0.883,7.3892E-04,1.1751E+00
1.40E-06,1403.0,0.884,2.3800E-03,3.7796E+00
1.40E-06,1402.0,0.884,1.8353E-03,2.9104E+00
1.40E-06,1401.0,0.885,1.0528E-08,1.6672E-05
1.40E-06,1400.0,0.886,3.2466E-09,5.1338E-06
1.40E-06,1399.0,0.886,8.1226E-04,1.2826E+00
1.40E-06,1398.0,0.887,1.2704E-03,2.0031E+00
1.40E-06,1397.0,0.888,4.9057E-05,7.7241E-02
1.40E-06,1396.0,0.888,6.3215E-09,9.9390E-06
1.40E-06,1395.0,0.889,6.7136E-07,1.0540E-03
1.39E-06,1394.0,0.890,7.5526E-05,1.1841E-01
1.39E-06,1393.0,0.890,1.1586E-04,1.8138E-01
1.39E-06,1392.0,0.891,2.3782E-05,3.7178E-02
1.39E-06,1391.0,0.891,3.4384E-04,5.3674E-01
1.39E-06,1390.0,0.892,4.9328E-04,7.6891E-01
1.39E-06,1389.0,0.893,5.8098E-04,9.0431E-01
1.39E-06,1388.0,0.893,4.0262E-06,6.2579E-03
1.39E-06,1387.0,0.894,1.9896E-04,3.0880E-01
1.39E-06,1386.0,0.895,2.5215E-06,3.9079E-03
1.39E-06,1385.0,0.895,2.0899E-06,3.2343E-03
1.38E-06,1384.0,0.896,6.1689E-07,9.5331E-04
1.38E-06,1383.0,0.897,4.4017E-08,6.7923E-05
1.38E-06,1382.0,0.897,2.5672E-06,3.9558E-03
1.38E-06,1381.0,0.898,2.3716E-06,3.6491E-03
1.38E-06,1380.0,0.899,8.1587E-05,1.2535E-01
1.38E-06,1379.0,0.899,5.2164E-05,8.0030E-02
1.38E-06,1378.0,0.900,1.1089E-03,1.6988E+00
1.38E-06,1377.0,0.901,1.2270E-04,1.8770E-01
1.38E-06,1376.0,0.901,2.5748E-04,3.9331E-01
1.38E-06,1375.0,0.902,3.2332E-04,4.9316E-01
1.37E-06,1374.0,0.902,1.7917E-04,2.7289E-01
1.37E-06,1373.0,0.903,4.4401E-05,6.7529E-02
1.37E-06,1372.0,0.904,2.7498E-06,4.1760E-03
1.37E-06,1371.0,0.904,1.9731E-08,2.9921E-05
